Date,Balance,
26/08/2018,3008.66,
26/08/2018,3006.66,
26/08/2018,2656.66,
26/08/2018,2656.07,
26/08/2018,2655.48,
26/08/2018,2649.60,
26/08/2018,2649.21,
26/08/2018,2648.82,
29/08/2018,2648.03,
29/08/2018,2645.74,
29/08/2018,2645.24,
02/09/2018,2642.54,
03/09/2018,2622.54,
03/09/2018,2621.89,
03/09/2018,2621.39,
03/09/2018,2618.89,
04/09/2018,2598.89,
04/09/2018,2592.89,
05/09/2018,2587.29,
06/09/2018,2581.29,
06/09/2018,2580.29,
06/09/2018,2579.29,
06/09/2018,2578.64,
06/09/2018,4578.64,
07/09/2018,4577.64,
08/09/2018,1077.64,
08/09/2018,1075.35,
10/09/2018,1070.85,
11/09/2018,1050.85,
11/09/2018,1044.85,
12/09/2018,1039.35,
13/09/2018,1037.85,
13/09/2018,1022.85,
13/09/2018,1010.85,
13/09/2018,1013.85,
14/09/2018,1369.44,
14/09/2018,1349.44,
15/09/2018,1345.04,
16/09/2018,1340.64,
17/09/2018,1336.14,
17/09/2018,1333.85,
17/09/2018,1332.85,
17/09/2018,1330.85,
18/09/2018,1329.85,
18/09/2018,1325.35,
19/09/2018,1320.85,
20/09/2018,1316.35,
21/09/2018,1640.58,
21/09/2018,1340.58,
22/09/2018,1331.78,
24/09/2018,1016.78,
24/09/2018,916.78,
24/09/2018,912.28,
25/09/2018,906.78,
25/09/2018,904.49,
25/09/2018,902.49,
25/09/2018,900.89,
25/09/2018,897.31,
26/09/2018,892.81,
27/09/2018,845.12,
28/09/2018,1014.64,
28/09/2018,1002.19,
29/09/2018,993.39,
30/09/2018,981.07,
30/09/2018,937.20,
01/10/2018,934.91,
01/10/2018,928.91,
01/10/2018,927.97,
01/10/2018,927.18,
03/10/2018,922.68,
04/10/2018,918.18,
05/10/2018,1090.08,
05/10/2018,1301.14,
05/10/2018,1288.14,
05/10/2018,1286.89,
05/10/2018,1282.31,
06/10/2018,1273.51,
06/10/2018,1267.51,
06/10/2018,1265.22,
06/10/2018,1264.43,
06/10/2018,1263.27,
08/10/2018,1235.81,
09/10/2018,1180.96,
09/10/2018,1189.71,
09/10/2018,1186.71,
10/10/2018,1106.73,
10/10/2018,1101.23,
10/10/2018,1086.23,
11/10/2018,1096.23,
11/10/2018,1092.03,
11/10/2018,1172.00,
12/10/2018,1343.90,
12/10/2018,1375.24,
12/10/2018,1395.24,
13/10/2018,1390.84,
13/10/2018,1387.26,
13/10/2018,1385.77,
13/10/2018,1384.19,
13/10/2018,1383.25,
13/10/2018,1380.96,
15/10/2018,1460.94,
16/10/2018,1456.74,
16/10/2018,1436.74,
17/10/2018,1428.74,
17/10/2018,1424.74,
17/10/2018,1422.74,
17/10/2018,1342.76,
17/10/2018,1333.26,
19/10/2018,1495.32,
19/10/2018,1467.87,
20/10/2018,1459.07,
23/10/2018,1454.57,
23/10/2018,1452.28,
23/10/2018,1450.33,
23/10/2018,1448.84,
23/10/2018,1133.84,
26/10/2018,1292.37,
26/10/2018,1272.37,
26/10/2018,1252.37,
27/10/2018,1238.84,
27/10/2018,1220.02,
27/10/2018,1200.02,
29/10/2018,1180.02,
29/10/2018,1173.02,
30/10/2018,1171.17,
30/10/2018,1166.67,
31/10/2018,1338.30,
31/10/2018,1318.92,
31/10/2018,1306.12,
31/10/2018,1299.24,
31/10/2018,1292.24,
31/10/2018,1258.85,
31/10/2018,1247.27,
31/10/2018,1242.77,
01/11/2018,1164.77,
01/11/2018,1242.77,
01/11/2018,1238.27,
01/11/2018,2238.27,
